study,Journal,Start Date,End Date,Country,Income,Region,WHO_Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),"Does the study meet any of the listed exclusion criteria (see covidence/protocol(?  IF YES to any, please do not proceed and send Brad Covidence #",ARDS,Mechanical Ventilation,ICU ,Smokers,COPD,CVD,Diabetes,Dialysis,Malignancy,Immunocompromised,"Patients identified to have growth of significant bacteria in the respective appropriate culture specimens (e.g., urine, tracheal aspirate, and blood from the central line, etc.) collected during admission were included.",Testing,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site_specific,body_site,patients_eval,coinfection,secondary_infection,bacterial_infection_unspecified,Resistant co-infection,Resistant secondary infection,resistant unknown bacterial infection,Bacteria names specified?,Susceptibility_reported,AMR_Prev_Evaluable?,Resistant_pts_total,NonR_pts_total,UnknownR_pts_total,Pts_Denom,Resistant_organisms,Non-Resistant organisms,Unknown organism resistance,Orgs_Denom,blood_organisms_total,blood_R_organisms_total,resp_organisms_total,resp_R_organisms_total,urine_organisms_total,urine_R_organisms_total,skin_organisms_total,skin_R_organisms_total,other_site_organism_total,other_R_organisms_total,unknown_site_total,unknown_site_R_total,Mycoplasma,Chlamydia,Legionella,SA,blood_SA,resp_SA,urine_SA,skin_SA,other_SA,SA_R,MRSA,VRSA,S_pneumo,blood_Strepp,resp_Strepp,urine_Strepp,other_Strepp,S_pneumo_R,S_pneumo_pen_R,S_pneumo_FQ_R,Enterococcus,blood_Enterococcus,resp_Enterococcus,urine_Enterococcus,skin_Enterococcus,other_enterococcus,Enterococcus_R,Haemophilus_isolates,blood_Hflu,resp_Hflu,urine_Hflu,skin_Hflu,Hflu_R_isolates (AmpR Hflu),Psa,blood_Psa,resp_Psa,urine_Psa,skin_Psa,other_Psa,Psa_R,Psa_ESBL,Psa_CR,Psa_ColR,Psa_MDR,Kleb,blood_Kleb,resp_Kleb,urine_Kleb,skin_Kleb,other_kleb,Kleb_R,Kleb_ESBL,Kleb_CR,Kleb_ColR,Kleb_MDR,Ecoli,blood_EColi,resp_EColi,urine_EColi,skin_EColi,other_EColi,EColi_R,Ecoli_ESBL,Ecoli_CR,Ecoli_ColR,Ecoli_MDR,Acineto,blood_Acineto,resp_Acineto,urine_Acineto,skin_Acineto,other_Acineto,Acineto_R,Acineto_CR,Acineto_ColR,Acineto_MDR,Ebacter,blood_Ebacter,resp_Ebacter,urine_Ebacter,skin_Ebacter,Ebacter_R_isolates,Ebacter_ESBL,Ebacter_CR,Ebacter_ColR,Ebacter_MDR,CNST,CNST_blood,CNST_resp,CNST_other,Citrobacter,blood_Citrobacter,resp_Citrobacter,urine_Citrobacter,skin_Citrobacter,other_Citro,C_bacter_R_,MDR Citrobacter,Moraxella,blood_Morax,resp_Morax,urine_Morax,skin_Morax,Steno,blood_Steno,resp_Steno,urine_Steno,skin_Steno,other_Steno,Steno_MDR,Serratia,blood_Serratia,resp_Serratia,urine_Serratia,skin_Serratia,Serratia_R,Serratia_ESBL,Serratia_CR,Serratia_ColR,Strep not-Pneumo,Proteus,blood_Proteus,resp_Proteus,urine_Proteus,skin_Proteus,other_proteus,Proteus_R,Proteus_ESBL,Proteus_CR,Proteus_ColR,Proteus_MDR,Other GN,Other GP,Other not reported,C difficile  - Don't count towrds other columns (pts),Other bacteria not previously reported,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the study’s target population a close representation of the national population in relation to relevant variables? ,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3 Was some form of random selection used to select the sample, OR, was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,bias,Quality_score,"Did this study evaluate bacterial co-infection or secondary infection outcomes compared to non-coinfection or non-secondary infection clinical outcomes? (i.e, mortality or LOS)",Mortality difference,LOS difference,Adjusted? (at minimum age),Mortality OR/HR Co-infection,LCL (Mortality OR/HR Co-infection),UCL (Mortality OR/HR Co-infection),Mortality OR/HR Secondary Infection,LCL (Mortality OR/HR Secondary Infection),UCL (Mortality OR/HR Secondary Infection),Mortality OR/HR unspecified/both types Infection,LCL (Mortality OR/HR unspecified/both types Infection),UCL (Mortality OR/HR unspecified/both types Infection),Infection_Type,Infection_Prevalence,I_Prev_Sensi_exclude,AMR_Prevalence_Overall,AMR_Prevalence_Select
"Albelenda-Alonso, 2021",Clinical Microbiology and Infection,02/28/2020,04/25/2020,Spain,HIC,Europe,Europe,Case control,Hospital,200,,64.25,Median,68,All combined,Yes,No,,157,182,,10,13,51,,22,10,"n=7 immunosuppressive treatment, n=2 SOT, n=1 HIV",Culture,Two sets of blood cultures were collected for each bacteremia episode using BD BACTEC PLUS Aerobic/F plus Anaerobic/F or Lytic/10 Anaerobic/F mediums,Yes,blood,blood,2005,,100,,,,,Yes,Yes,Yes,,,100,100,15,7,143,165,165,"17 total. 10 ESBL Enterobacterales, 2 CR-Psa (assuming same pathogens as ESBL-producing), 2 MRSA.",,,,,,,,,,,,,,9,9,,,,,2,2,,2,2,,,,,,,42,42,,,,,,,,,,,,15,15,,,,,2,,2,,,13,13,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,46,46,,,,,,,,,,,,,,,,1,1,,,,,,9,9,,,,,,,,1,1,1,,,,,,,,,,3,,,,"Achromobacter=1, Bacteroides fragilis=2",123,90,116,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,Yes,"A Cox proportional hazard ratio (HR) model showed that after adjusting for the time factor, BSI was associated with a higher in-hospital mortality risk (HR 2.59; 1.65e4.07; p < 0.001).","Total length of hospital stay longer in patients with BSI (33 vs 18 days, p<0.001)","Yes, mortality",,,,2.59,1.65,4.07,,,,Secondary,Y,,Y,Y
"AlSulaiman, 2021",J Crit Care,03/01/2020,03/31/2021,Saudi Arabia,HIC,Middle East,Eastern Mediterranean,Retrospective Cohort,Hospital ICU,298,"ICU, toci",59,Mean,83,Critical,Yes,No,,217,298,,4,13,159,,10,,,Culture,"microbial isolates (i.e., bacteria and fungus) were identified in the blood, urine,wound, drainage, cerebrospinalfluid (CSF), and respiratory specimens.",Yes,blood,blood,128,,13,,,,,No,No,No,,,13,13,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,298,,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,No,-,-,-,,,,,,,,,,Secondary,Y,,N,N
"Al-Karbolii MM, 2021",Indian J Forensic Med Toxicol,01/01/2020,01/01/2021,Iraq,LMIC,Middle East,Eastern Mediterranean,Retrospective Cohort,Hospital,210,,,,60,All combined,Yes,No,,,,,,,,,,,,Culture,microbiological detected isolation from blood sample of 210 COVID-19 patients in isolation ward detected by BACT/ALERTÂ® Culture Media( which done by specimens of blood sample with a volume of 10 ml from COVID-19 patients in isolation ward,No,blood,blood,210,121,,,,,,Yes,Yes,No,,,121,121,,,121,121,121,,,,,,,,,,,,,,,57,57,,,,,,,,24,24,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,18,18,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,low,8,No,,,,,,,,,,,,,Co-infection,Y,Y,N,Y
"Asler, 2021",J Trauma Acute Care Surg,03/14/2020,04/28/2020,United States,HIC,North America,North America,Prospective cohort,Hospital ICU,235,ICU,58.5,Mean,79,Critical,Yes,No,203,206,235,57,17,21,102,,5,23,"n=8 chronic immunosuppressants, n=4 HIV, n=11 chronic steroids (not sure how many overlap)",Culture,"sputum culture, urine culture, CLABSI",No,"resp, blood, urine",multiple,235,,,166,,,,Yes,No,No,,,166,166,,,114,114,5,,83,,26,,,,,,,,,,,74,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,7,,41,2,202,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,moderate,6,No,-,-,-,,,,,,,,,,Unspecified,Y,,N,N
"Amer, 2021",Eur J Med Res,03/01/2020,01/10/2021,Saudi Arabia,HIC,Middle East,Eastern Mediterranean,Retrospective Cohort,Hospital ICU,860,ICU,60.5,Mean,288,Critical,Yes,No,235,860,860,215,82,169,528,17,56,15,"HIV or other immunosuppression, history of solid organ or bone marrow transplant",Culture,"blood cultures, sputum culture, urine culture",No,"resp, blood, urine",multiple,860,,,110,,,,No,No,No,,,110,110,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,271,,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,moderate,6,No,-,-,-,,,,,,,,,,Unspecified,Y,,N,N
"Annane D, 2020",EClinicalMedicine,03/10/2020,05/05/2020,France,HIC,Europe,Europe,Prospective Cohort,Hospital ICU,80,,58.9,58.9 (weighted median),24,Critical,Yes,No,,52,80,,3,15,,,13,,,Culture,Samples for bacterial cultures were obtained by bronchoalveolar lavage,No,"resp, blood, urine",multiple,80,,31,,,,,Yes,Yes,No,2,,29,31,2,,43,45,5,,39,2 MRSA,,,,,,,1,,,,,4,,4,,,,2,2,,2,,2,,,,,,6,,6,,,,,,,,,,,12,2,9,,,1,,,,,,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,,,,,,,,1,,,,1,,1,,,,,,,,,,,1,,1,,,,,4,,4,,,,,,,,,,,,,,,,,,,4,,,,"Morganella morganii=2, Burkholderia luteus=1, Hafnia alvei=1",9,,31,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,moderate,7,No,-,-,-,,,,,,,,,,Secondary,Y,,N,Y
"Asmarawati, 2021",F1000,03/14/2020,09/30/2020,Indonesia,LMIC,Asia,South-East Asia,Retrospective Cohort,Hospital,218,"""ICU or higher level of care""",52.45,Median,98,Moderate/severe/critically ill,Yes,No,23,23,36,7,1,14,75,,,,,Culture,"Culture examination was performed when there was suspicion of bacterial infection or sepsis. The sample for culture was taken from blood, urine, and respiratory tract.",Yes,"resp, blood, urine",multiple,218,10,33,,,,,Yes,Yes,No,,,,0,5,,42,47,5,2 ESBL K pneumo,38,1 ESBL E coli,4,2 ESBL E coli,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,7,2,4,1,,,,,,,,7,2,5,,,,2,2,,,,5,,3,2,,,3,3,,,,9,,9,,,,,,,,3,,3,,,,,,,,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,11=unknown,,,164,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,9,Yes,"Mortality occurs in 16.28% of COVID-19 patients with bacterial infections, higher than those without bacterial infection (8%). Overall, COVID-19 patients with bacterial infection had a worse prognosis than those without bacterial infection (p<0.04).","Median LOS higher in the bacterial co-infection group rather than nonco-infection, with an average of 17.6 and 13.31 days, respectively",No,,,,,,,,,,Both,Y,,N,Y
"Bardi T, 2021",European Journal of Clinical Microbiology & Infectious Diseases,03/01/2020,05/30/2020,Spain,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,140,Outcome of ICU-acquired infections,61,Median,32,Critical,Yes,No,83,134,140,,10,20,28,,,,,Culture,"confirmed infection, defined by the presence of a positive culture of a significant clinical sample, associated with clinical signs of infection and/or worsening organ failure. Conventional microbiological testing (tracheal  aspirate, blood and urine cultures) was requested by the treating physician when infection was suspected, and was not protocolized",Yes,"resp, blood, urine, skin",multiple,140,,57,,,,,Yes,Yes,No,22,,35,57,31,1,50,82,47,2 MRSA,26,7 MRSA,7,,2,,,,,"MDR E faecium=8, MDR pseudomonas=5",,,,10,2,8,,,,9,9,,,,,,,,,,29,24,,5,,,8,1,,1,,,,14,2,11,1,,,5,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,2,,1,,1,,,,,,16,16,,,,,,,,,,,,,,,,3,,3,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,"Bacteroides=1, Halfnia alvei=1",127,96,120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,Yes,"In the multivariate analysisthe development of a nosocomial infection (OR 2.7, 95% CI 1.2â€“5.9, p = 0.015) wassignificantly associated with ICU mortality. Nosocomial infection was associated with a higher mortality p<0.001","ICU length of hospitalization was significantly higher in those with nosocomial infection vs those without nosocomial infection (20 vs 11, p<0.001)","Yes, mortality",,,,2.7,1.2,5.9,,,,Secondary,Y,,N,Y
"Bashir, 2021",Western Pac Surveill Response,03/09/2020,02/04/2021,Brunei,HIC,Asia,Western Pacific,Retrospective Cohort,Hospital,180,,35.3,Mean,68,All combined,Yes,No,,,5,,,6,10,,,,,Culture,"Collection of sputum, urine and stool for Gram staining, microscopy and culture, and blood for culture",Yes,"resp, blood, urine, stool",multiple,180,8,,,,,,Yes,Yes,No,1,1,6,8,1,1,8,10,1,0,8,1,1,,,,,,,,,,,2,1,1,,,,1,1,,1,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,Rothia mucilaginosa=1,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,9,Yes,"These patients were also more likely than those without primary bacterial coinfection to be screened for (37.5% vs. 9.9%, P = 0.015) and develop secondary co-infection (25% vs. 4.7%, P = 0.014) and to die (12.5% vs. 0.6%, P = 0.014).",-,No,,,,,,,,,,Co-infection,Y,,N,Y
"Baskaran, 2021",J Medical Microbiol ,02/21/2020,05/18/2020,UK,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,254,ICU,59,Median,90,Critical,Yes,No,,151,254,,,3,66,,7,13,immunocomprosed=13,Culture + Urine Ag + NAAT,"standard culture (blood, sputum, trachealaspirate, bronchoalveolar lavage (BAL), urine) and validated culture-independent tests such as respiratory viral PCR and urinary antigens. ",Yes,"resp, blood",multiple,254,14,77,,,,,Yes,Yes,No,,,83,83,2,,137,139,19,,120,,,,,,,,,,1,,,14,1,13,,,,2,2,,2,,2,,,,,,5,5,,,,,,4,1,3,,,,18,1,17,,,,,,,,,25,2,23,,,,,,,,,13,1,12,,,,,,,,,2,,2,,,,,,,,12,,12,,,,,,,,6,6,,,10,2,8,,,,,,,,,,,4,,4,,,,,9,9,,,,,,,,,6,,6,,,,,,,,,8,,,,"Roultella sp=2, Morganella morganii=1, Pleuralibacter gergoviae=2, Burkholderia multivorans=1, Delftia acidovorans=1, Yersinia enterocolitica=1",,,241,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,Yes,"Patients with co-infections/ co-colonisation were more likely to die in ICU (with coinfections/ co-colonisation, n=34 vs without coinfections/ co-colonisation, n=48, crude OR 1.78, 95% CI 1.03â€“3.08, P=0.04) ","and had a longer hospital LOS (measured from admission to hospital to the end of ICU admission, subhazard ratio (likelihood of discharge from ICU)=0.53, 95% CI 0.39â€“0.71, P<0.001).",No,,,,,,,,,,Both,Y,,N,Y
