"Characteristic","Patient-level resistance (n = 17)","","","Organism-level resistance (n = 42)","",""
"","Unadjusted","Adjusted","Studies included","Unadjusted","Adjusted","Studies included"
"Setting","","","10","","","33"
"Hospital","Reference","Reference","4","Reference","Reference","19"
"Hospital ICU","3.18 (0.23 to 43.85)","4.47 (0.36 to 55.70)","5","3.69 (1.28 to 10.63)","3.69 (1.27 to 10.68)","13"
"Hospital/Outpatient","0.00 (0.00 to Inf)","0.00 (0.00 to Inf)","1","0.00 (0.00 to Inf)","0.00 (0.00 to Inf)","1"
"Body site","","","10","","","31"
"Resp","Reference","Reference","3","Reference","Reference","4"
"Blood","0.12 (0.00 to 7.35)","0.02 (0.00 to 0.66)","1","0.15 (0.02 to 1.08)","0.06 (0.01 to 0.40)","7"
"Multiple","0.15 (0.01 to 2.21)","0.08 (0.01 to 0.70)","6","0.45 (0.08 to 2.64)","0.30 (0.06 to 1.51)","20"
"Infection type","","","10","","","31"
"Both/Unspecified","Reference","Reference","4","Reference","Reference","12"
"Co-infection","(No data)","(No data)","0","0.24 (0.01 to 5.78)","0.24 (0.01 to 5.37)","1"
"Secondary","4.89 (0.34 to 70.59)","1267.85 (0.14 to 11112434.11)","6","1.72 (0.53 to 5.54)","0.77 (0.18 to 3.25)","18"
"Study end month","","","10","","","31"
"Jan-Jun 2020","Reference","Reference","7","Reference","Reference","22"
"Jul-Dec 2020","1.63 (0.47 to 5.58)","2.32 (0.76 to 7.10)","2","2.42 (0.56 to 10.53)","2.02 (0.46 to 8.89)","5"
"Jan-Jun 2021","80951145608.73 (0.00 to Inf)","184734961939.36 (0.00 to Inf)","1","5.21 (1.01 to 26.96)","3.74 (0.72 to 19.53)","4"
"WHO region","","","10","","","31"
"Europe","Reference","Reference","4","Reference","Reference","16"
"Africa","(No data)","(No data)","0","2.88 (0.39 to 21.07)","2.46 (0.34 to 17.68)","1"
"Americas","0.00 (0.00 to Inf)","0.00 (0.00 to Inf)","1","1.23 (0.37 to 4.11)","2.07 (0.54 to 7.88)","4"
"Eastern Mediterranean","1055275382584.06 (0.00 to Inf)","966455190101.57 (0.00 to Inf)","1","25.60 (6.98 to 93.90)","27.13 (7.30 to 100.92)","3"
"South-East Asia","2.16 (0.86 to 5.42)","2.13 (0.78 to 5.83)","2","5.94 (1.30 to 27.17)","6.43 (1.38 to 29.95)","2"
"Western Pacific","6.34 (1.68 to 24.01)","5.62 (1.00 to 31.39)","2","8.82 (2.72 to 28.64)","6.85 (2.11 to 22.27)","4"
"Multiple","(No data)","(No data)","0","0.22 (0.03 to 1.88)","0.24 (0.03 to 1.94)","1"
"Income","","","10","","","31"
"HIC","Reference","Reference","6","Reference","Reference","20"
"LMIC","10.49 (1.03 to 106.97)","14.15 (1.85 to 108.33)","4","8.01 (3.19 to 20.09)","10.38 (3.97 to 27.10)","10"
"Both","(No data)","(No data)","0","0.20 (0.02 to 2.34)","0.18 (0.02 to 1.76)","1"
"Age (10-year increase)","5.76 (0.43 to 77.55)","12.51 (0.67 to 234.38)","10","1.01 (0.30 to 3.45)","1.29 (0.38 to 4.34)","31"
"% Female (10% increase)","0.94 (0.26 to 3.39)","0.85 (0.19 to 3.91)","10","0.91 (0.50 to 1.66)","1.31 (0.65 to 2.64)","31"
"% Mechanical ventilation (10% increase)","1.19 (0.82 to 1.72)","1.30 (0.90 to 1.88)","8","1.16 (0.96 to 1.39)","1.17 (0.96 to 1.41)","25"
"% Smoker (10% increase)","(Insufficient data to estimate)","(Insufficient data to estimate)","1","(Insufficient data to estimate)","(Insufficient data to estimate)","2"
"% COPD (10% increase)","0.09 (0.03 to 0.28)","(Insufficient data to estimate)","4","0.61 (0.14 to 2.71)","0.71 (0.17 to 2.94)","14"
"% CVD (10% increase)","23.04 (0.40 to 1313.44)","118.78 (7.78 to 1814.67)","7","1.15 (0.41 to 3.25)","1.59 (0.60 to 4.27)","17"
"% Diabetes (10% increase)","3.46 (1.61 to 7.46)","3.14 (2.19 to 4.50)","8","1.95 (1.23 to 3.11)","1.95 (1.19 to 3.21)","25"
"% Malignancy (10% increase)","0.11 (0.02 to 0.79)","0.06 (0.02 to 0.18)","6","0.77 (0.57 to 1.03)","0.77 (0.56 to 1.04)","16"
"% Immunicompromised (10% increase)","0.74 (0.12 to 4.65)","(Insufficient data to estimate)","4","0.71 (0.49 to 1.03)","0.71 (0.49 to 1.03)","13"
"% Corticosteroid (10% increase)","1.26 (0.77 to 2.08)","1.65 (0.82 to 3.33)","8","1.28 (1.02 to 1.61)","1.33 (0.98 to 1.80)","22"
"% IL-6 inhibitor (10% increase)","1.49 (0.90 to 2.47)","1.70 (1.12 to 2.56)","6","1.36 (1.05 to 1.76)","1.44 (1.03 to 2.01)","17"
"% Antibiotics (10% increase)","3.15 (0.98 to 10.10)","2.70 (1.28 to 5.70)","7","1.53 (0.84 to 2.78)","1.49 (0.82 to 2.71)","19"
